Call Id,Agent,Date,Time,Topic,Answered (Y/N),Resolved,Speed of answer in seconds,AvgTalkDuration,Satisfaction rating,DateTime
ID0053,Stewart,2021-01-01,17:36:58,Payment related,Y,Y,13.0,75.0,5.0,2021-01-01 17:36:58
ID0054,Dan,2021-01-01,17:36:58,Payment related,Y,Y,119.0,152.0,5.0,2021-01-01 17:36:58
ID0055,Becky,2021-01-01,17:44:10,Streaming,Y,Y,35.0,79.0,3.0,2021-01-01 17:44:10
ID0056,Dan,2021-01-01,17:44:10,Streaming,Y,Y,83.0,405.0,4.0,2021-01-01 17:44:10
ID0057,Jim,2021-01-01,17:57:07,Technical Support,Y,Y,48.0,172.0,2.0,2021-01-01 17:57:07
ID0058,Stewart,2021-01-01,17:57:07,Admin Support,Y,Y,45.0,203.0,5.0,2021-01-01 17:57:07
ID0059,Dan,2021-01-02,09:05:46,Technical Support,Y,Y,65.0,360.0,5.0,2021-01-02 09:05:46
ID0060,Dan,2021-01-02,09:05:46,Contract related,Y,Y,50.0,266.0,3.0,2021-01-02 09:05:46
ID0061,Diane,2021-01-02,09:18:43,Streaming,Y,Y,17.0,375.0,3.0,2021-01-02 09:18:43
ID0062,Joe,2021-01-02,09:18:43,Technical Support,N,N,68.0,226.0,3.0,2021-01-02 09:18:43
ID0063,Dan,2021-01-02,09:20:10,Streaming,Y,Y,96.0,406.0,1.0,2021-01-02 09:20:10
ID0064,Stewart,2021-01-02,09:20:10,Streaming,Y,Y,90.0,383.0,3.0,2021-01-02 09:20:10
ID0065,Jim,2021-01-02,09:38:53,Contract related,Y,Y,98.0,385.0,2.0,2021-01-02 09:38:53
ID0066,Diane,2021-01-02,09:38:53,Technical Support,Y,N,90.0,83.0,4.0,2021-01-02 09:38:53
ID0067,Jim,2021-01-02,10:04:48,Contract related,Y,Y,98.0,349.0,5.0,2021-01-02 10:04:48
ID0068,Jim,2021-01-02,10:04:48,Contract related,Y,Y,70.0,192.0,5.0,2021-01-02 10:04:48
ID0069,Diane,2021-01-02,10:33:36,Contract related,Y,Y,69.0,285.0,4.0,2021-01-02 10:33:36
ID0070,Diane,2021-01-02,10:33:36,Admin Support,N,N,68.0,226.0,3.0,2021-01-02 10:33:36
ID0071,Joe,2021-01-02,11:08:10,Technical Support,Y,Y,120.0,131.0,4.0,2021-01-02 11:08:10
ID0072,Stewart,2021-01-02,11:08:10,Admin Support,Y,Y,113.0,351.0,5.0,2021-01-02 11:08:10
ID0073,Greg,2021-01-02,11:26:53,Payment related,Y,N,10.0,139.0,5.0,2021-01-02 11:26:53
ID0074,Becky,2021-01-02,11:26:53,Contract related,Y,Y,122.0,293.0,1.0,2021-01-02 11:26:53
ID0075,Stewart,2021-01-02,11:42:43,Technical Support,Y,N,125.0,98.0,3.0,2021-01-02 11:42:43
ID0076,Diane,2021-01-02,11:42:43,Admin Support,N,N,68.0,226.0,3.0,2021-01-02 11:42:43
ID0077,Martha,2021-01-02,11:47:02,Technical Support,Y,Y,33.0,398.0,2.0,2021-01-02 11:47:02
ID0078,Dan,2021-01-02,11:47:02,Contract related,Y,Y,51.0,382.0,2.0,2021-01-02 11:47:02
ID0079,Becky,2021-01-02,11:54:14,Contract related,Y,Y,58.0,208.0,3.0,2021-01-02 11:54:14
ID0080,Dan,2021-01-02,11:54:14,Admin Support,Y,Y,121.0,287.0,5.0,2021-01-02 11:54:14
ID0081,Diane,2021-01-02,12:00:00,Admin Support,Y,Y,118.0,126.0,4.0,2021-01-02 12:00:00
ID0082,Greg,2021-01-02,12:00:00,Payment related,Y,Y,52.0,416.0,4.0,2021-01-02 12:00:00
ID0083,Stewart,2021-01-02,12:20:10,Admin Support,Y,Y,55.0,284.0,3.0,2021-01-02 12:20:10
ID0084,Dan,2021-01-02,12:20:10,Contract related,Y,Y,68.0,359.0,4.0,2021-01-02 12:20:10
ID0085,Becky,2021-01-02,12:41:46,Technical Support,Y,Y,106.0,262.0,5.0,2021-01-02 12:41:46
ID0086,Martha,2021-01-02,12:41:46,Technical Support,Y,Y,32.0,276.0,3.0,2021-01-02 12:41:46
ID0087,Jim,2021-01-02,12:44:38,Payment related,N,N,68.0,226.0,3.0,2021-01-02 12:44:38
ID0088,Martha,2021-01-02,12:44:38,Admin Support,Y,N,45.0,86.0,4.0,2021-01-02 12:44:38
ID0089,Joe,2021-01-02,12:59:02,Technical Support,Y,Y,119.0,212.0,4.0,2021-01-02 12:59:02
ID0090,Dan,2021-01-02,12:59:02,Streaming,N,N,68.0,226.0,3.0,2021-01-02 12:59:02
ID0091,Jim,2021-01-02,13:03:22,Contract related,Y,Y,46.0,341.0,1.0,2021-01-02 13:03:22
ID0092,Stewart,2021-01-02,13:03:22,Technical Support,Y,Y,101.0,88.0,3.0,2021-01-02 13:03:22
ID0093,Jim,2021-01-02,13:04:48,Technical Support,Y,Y,56.0,172.0,3.0,2021-01-02 13:04:48
ID0094,Becky,2021-01-02,13:04:48,Technical Support,Y,Y,80.0,53.0,3.0,2021-01-02 13:04:48
ID0095,Diane,2021-01-02,13:13:26,Streaming,Y,Y,24.0,96.0,3.0,2021-01-02 13:13:26
ID0096,Stewart,2021-01-02,13:13:26,Payment related,Y,Y,113.0,234.0,2.0,2021-01-02 13:13:26
ID0097,Greg,2021-01-02,13:20:38,Contract related,Y,Y,19.0,123.0,4.0,2021-01-02 13:20:38
ID0098,Martha,2021-01-02,13:20:38,Streaming,N,N,68.0,226.0,3.0,2021-01-02 13:20:38
ID0099,Dan,2021-01-02,13:20:38,Contract related,Y,Y,45.0,397.0,3.0,2021-01-02 13:20:38
ID0100,Diane,2021-01-02,13:20:38,Technical Support,Y,Y,95.0,311.0,1.0,2021-01-02 13:20:38
ID0101,Becky,2021-01-02,13:45:07,Technical Support,N,N,68.0,226.0,3.0,2021-01-02 13:45:07
ID0102,Martha,2021-01-02,13:45:07,Technical Support,Y,N,79.0,331.0,1.0,2021-01-02 13:45:07
ID0103,Diane,2021-01-02,13:49:26,Payment related,Y,Y,22.0,236.0,2.0,2021-01-02 13:49:26
ID0104,Martha,2021-01-02,13:49:26,Contract related,Y,Y,38.0,396.0,1.0,2021-01-02 13:49:26
ID0105,Becky,2021-01-02,13:53:46,Technical Support,Y,Y,112.0,205.0,5.0,2021-01-02 13:53:46
ID0106,Becky,2021-01-02,13:53:46,Payment related,Y,Y,65.0,297.0,3.0,2021-01-02 13:53:46
ID0107,Joe,2021-01-02,14:22:34,Streaming,N,N,68.0,226.0,3.0,2021-01-02 14:22:34
ID0108,Becky,2021-01-02,14:22:34,Contract related,Y,N,55.0,152.0,1.0,2021-01-02 14:22:34
ID0109,Stewart,2021-01-02,14:52:48,Admin Support,N,N,68.0,226.0,3.0,2021-01-02 14:52:48
ID0110,Joe,2021-01-02,14:52:48,Streaming,Y,Y,19.0,158.0,2.0,2021-01-02 14:52:48
ID0111,Becky,2021-01-02,15:10:05,Technical Support,Y,Y,53.0,56.0,3.0,2021-01-02 15:10:05
ID0112,Diane,2021-01-02,15:10:05,Technical Support,Y,Y,24.0,366.0,5.0,2021-01-02 15:10:05
ID0113,Martha,2021-01-02,15:36:00,Streaming,Y,Y,73.0,361.0,3.0,2021-01-02 15:36:00
ID0114,Stewart,2021-01-02,15:36:00,Technical Support,N,N,68.0,226.0,3.0,2021-01-02 15:36:00
ID0115,Jim,2021-01-02,17:36:58,Technical Support,Y,Y,55.0,347.0,5.0,2021-01-02 17:36:58
ID0116,Greg,2021-01-02,17:36:58,Payment related,N,N,68.0,226.0,3.0,2021-01-02 17:36:58
ID0117,Diane,2021-01-02,17:47:02,Streaming,N,N,68.0,226.0,3.0,2021-01-02 17:47:02
ID0118,Martha,2021-01-02,17:47:02,Streaming,Y,Y,23.0,318.0,4.0,2021-01-02 17:47:02
ID0119,Dan,2021-01-03,09:10:05,Payment related,Y,N,124.0,143.0,5.0,2021-01-03 09:10:05
ID0120,Dan,2021-01-03,09:10:05,Contract related,N,N,68.0,226.0,3.0,2021-01-03 09:10:05
ID0121,Dan,2021-01-03,09:47:31,Technical Support,Y,Y,103.0,61.0,4.0,2021-01-03 09:47:31
ID0122,Martha,2021-01-03,09:47:31,Contract related,Y,Y,69.0,225.0,4.0,2021-01-03 09:47:31
ID0123,Joe,2021-01-03,10:29:17,Streaming,Y,Y,78.0,72.0,3.0,2021-01-03 10:29:17
ID0124,Martha,2021-01-03,10:29:17,Technical Support,Y,Y,78.0,206.0,5.0,2021-01-03 10:29:17
ID0125,Martha,2021-01-03,10:37:55,Technical Support,N,N,68.0,226.0,3.0,2021-01-03 10:37:55
ID0126,Diane,2021-01-03,10:37:55,Payment related,Y,Y,44.0,338.0,4.0,2021-01-03 10:37:55
ID0127,Martha,2021-01-03,10:52:19,Admin Support,Y,Y,35.0,166.0,4.0,2021-01-03 10:52:19
ID0128,Becky,2021-01-03,10:52:19,Admin Support,Y,Y,102.0,326.0,4.0,2021-01-03 10:52:19
ID0129,Jim,2021-01-03,10:52:19,Contract related,Y,Y,99.0,351.0,3.0,2021-01-03 10:52:19
ID0130,Jim,2021-01-03,10:52:19,Admin Support,Y,Y,29.0,249.0,3.0,2021-01-03 10:52:19
ID0131,Becky,2021-01-03,10:58:05,Admin Support,Y,N,42.0,59.0,5.0,2021-01-03 10:58:05
ID0132,Diane,2021-01-03,10:58:05,Payment related,Y,Y,113.0,340.0,4.0,2021-01-03 10:58:05
ID0133,Dan,2021-01-03,11:02:24,Admin Support,Y,Y,124.0,53.0,2.0,2021-01-03 11:02:24
ID0134,Jim,2021-01-03,11:02:24,Technical Support,N,N,68.0,226.0,3.0,2021-01-03 11:02:24
ID0135,Dan,2021-01-03,11:03:50,Payment related,Y,Y,55.0,133.0,1.0,2021-01-03 11:03:50
ID0136,Greg,2021-01-03,11:03:50,Technical Support,Y,N,105.0,359.0,3.0,2021-01-03 11:03:50
ID0137,Stewart,2021-01-03,11:06:43,Contract related,Y,N,112.0,192.0,5.0,2021-01-03 11:06:43
ID0138,Martha,2021-01-03,11:06:43,Contract related,N,N,68.0,226.0,3.0,2021-01-03 11:06:43
ID0139,Becky,2021-01-03,11:16:48,Technical Support,Y,Y,43.0,380.0,5.0,2021-01-03 11:16:48
ID0140,Joe,2021-01-03,11:16:48,Payment related,Y,Y,20.0,104.0,3.0,2021-01-03 11:16:48
ID0141,Greg,2021-01-03,11:26:53,Technical Support,Y,Y,84.0,103.0,5.0,2021-01-03 11:26:53
ID0142,Jim,2021-01-03,11:26:53,Contract related,Y,Y,20.0,164.0,4.0,2021-01-03 11:26:53
ID0143,Greg,2021-01-03,11:38:24,Streaming,Y,Y,101.0,136.0,3.0,2021-01-03 11:38:24
ID0144,Diane,2021-01-03,11:38:24,Technical Support,Y,Y,31.0,175.0,5.0,2021-01-03 11:38:24
ID0145,Jim,2021-01-03,11:52:48,Contract related,Y,Y,56.0,249.0,5.0,2021-01-03 11:52:48
ID0146,Joe,2021-01-03,11:52:48,Contract related,N,N,68.0,226.0,3.0,2021-01-03 11:52:48
ID0147,Joe,2021-01-03,11:55:41,Payment related,Y,Y,77.0,87.0,5.0,2021-01-03 11:55:41
ID0148,Jim,2021-01-03,11:55:41,Payment related,Y,Y,46.0,50.0,4.0,2021-01-03 11:55:41
ID0149,Stewart,2021-01-03,11:58:34,Admin Support,Y,Y,88.0,266.0,3.0,2021-01-03 11:58:34
ID0150,Diane,2021-01-03,11:58:34,Payment related,Y,Y,88.0,58.0,1.0,2021-01-03 11:58:34
ID0151,Joe,2021-01-03,12:33:07,Technical Support,Y,Y,124.0,363.0,1.0,2021-01-03 12:33:07
ID0152,Stewart,2021-01-03,12:33:07,Contract related,N,N,68.0,226.0,3.0,2021-01-03 12:33:07
ID0153,Martha,2021-01-03,12:54:43,Payment related,Y,N,52.0,419.0,4.0,2021-01-03 12:54:43
ID0154,Joe,2021-01-03,12:54:43,Admin Support,Y,Y,67.0,370.0,5.0,2021-01-03 12:54:43
ID0155,Martha,2021-01-03,13:12:00,Payment related,Y,Y,119.0,256.0,3.0,2021-01-03 13:12:00
ID0156,Dan,2021-01-03,13:12:00,Admin Support,Y,Y,98.0,277.0,2.0,2021-01-03 13:12:00
ID0157,Jim,2021-01-03,13:14:53,Technical Support,N,N,68.0,226.0,3.0,2021-01-03 13:14:53
ID0158,Joe,2021-01-03,13:14:53,Technical Support,Y,Y,118.0,258.0,3.0,2021-01-03 13:14:53
ID0159,Becky,2021-01-03,13:27:50,Admin Support,Y,Y,123.0,75.0,3.0,2021-01-03 13:27:50
ID0160,Becky,2021-01-03,13:27:50,Streaming,Y,N,86.0,337.0,1.0,2021-01-03 13:27:50
ID0161,Greg,2021-01-03,13:35:02,Admin Support,Y,Y,104.0,129.0,3.0,2021-01-03 13:35:02
ID0162,Greg,2021-01-03,13:35:02,Payment related,Y,Y,69.0,93.0,2.0,2021-01-03 13:35:02
ID0163,Dan,2021-01-03,13:58:05,Contract related,Y,Y,113.0,158.0,1.0,2021-01-03 13:58:05
ID0164,Joe,2021-01-03,13:58:05,Streaming,Y,Y,88.0,203.0,5.0,2021-01-03 13:58:05
ID0165,Joe,2021-01-03,13:58:05,Streaming,N,N,68.0,226.0,3.0,2021-01-03 13:58:05
ID0166,Stewart,2021-01-03,13:58:05,Payment related,N,N,68.0,226.0,3.0,2021-01-03 13:58:05
ID0167,Joe,2021-01-03,14:03:50,Payment related,Y,Y,84.0,58.0,2.0,2021-01-03 14:03:50
ID0168,Diane,2021-01-03,14:03:50,Streaming,Y,Y,113.0,82.0,3.0,2021-01-03 14:03:50
ID0169,Joe,2021-01-03,14:47:02,Streaming,Y,Y,38.0,331.0,4.0,2021-01-03 14:47:02
ID0170,Dan,2021-01-03,14:47:02,Streaming,Y,Y,14.0,374.0,4.0,2021-01-03 14:47:02
ID0171,Martha,2021-01-03,15:34:34,Streaming,Y,N,25.0,332.0,4.0,2021-01-03 15:34:34
ID0172,Dan,2021-01-03,15:34:34,Contract related,N,N,68.0,226.0,3.0,2021-01-03 15:34:34
ID0173,Diane,2021-01-03,16:29:17,Technical Support,N,N,68.0,226.0,3.0,2021-01-03 16:29:17
ID0174,Joe,2021-01-03,16:29:17,Payment related,Y,Y,117.0,127.0,4.0,2021-01-03 16:29:17
ID0175,Stewart,2021-01-03,17:31:12,Payment related,Y,N,57.0,361.0,2.0,2021-01-03 17:31:12
ID0176,Martha,2021-01-03,17:31:12,Technical Support,Y,Y,119.0,319.0,5.0,2021-01-03 17:31:12
ID0177,Martha,2021-01-04,09:01:26,Contract related,N,N,68.0,226.0,3.0,2021-01-04 09:01:26
ID0178,Diane,2021-01-04,09:01:26,Streaming,Y,Y,93.0,392.0,5.0,2021-01-04 09:01:26
ID0179,Martha,2021-01-04,09:31:41,Payment related,Y,Y,86.0,64.0,4.0,2021-01-04 09:31:41
ID0180,Joe,2021-01-04,09:31:41,Streaming,N,N,68.0,226.0,3.0,2021-01-04 09:31:41
ID0181,Dan,2021-01-04,09:43:12,Contract related,Y,Y,92.0,179.0,3.0,2021-01-04 09:43:12
ID0182,Greg,2021-01-04,09:43:12,Streaming,N,N,68.0,226.0,3.0,2021-01-04 09:43:12
ID0183,Martha,2021-01-04,10:03:22,Technical Support,Y,Y,106.0,342.0,3.0,2021-01-04 10:03:22
ID0184,Stewart,2021-01-04,10:03:22,Technical Support,Y,Y,67.0,164.0,3.0,2021-01-04 10:03:22
ID0185,Jim,2021-01-04,10:27:50,Streaming,Y,Y,90.0,257.0,3.0,2021-01-04 10:27:50
ID0186,Diane,2021-01-04,10:27:50,Technical Support,N,N,68.0,226.0,3.0,2021-01-04 10:27:50
ID0187,Becky,2021-01-04,11:09:36,Streaming,Y,N,50.0,229.0,4.0,2021-01-04 11:09:36
ID0188,Diane,2021-01-04,11:09:36,Admin Support,Y,N,89.0,256.0,3.0,2021-01-04 11:09:36
ID0189,Jim,2021-01-04,11:13:55,Admin Support,Y,Y,74.0,378.0,3.0,2021-01-04 11:13:55
ID0190,Martha,2021-01-04,11:13:55,Payment related,Y,Y,63.0,142.0,2.0,2021-01-04 11:13:55
ID0191,Becky,2021-01-04,11:18:14,Contract related,Y,Y,45.0,391.0,5.0,2021-01-04 11:18:14
ID0192,Martha,2021-01-04,11:18:14,Technical Support,N,N,68.0,226.0,3.0,2021-01-04 11:18:14
ID0193,Dan,2021-01-04,11:22:34,Payment related,Y,Y,31.0,403.0,2.0,2021-01-04 11:22:34
ID0194,Joe,2021-01-04,11:22:34,Streaming,N,N,68.0,226.0,3.0,2021-01-04 11:22:34
ID0195,Joe,2021-01-04,11:32:38,Contract related,Y,Y,43.0,224.0,5.0,2021-01-04 11:32:38
ID0196,Martha,2021-01-04,11:32:38,Streaming,Y,Y,50.0,342.0,4.0,2021-01-04 11:32:38
ID0197,Dan,2021-01-04,12:02:53,Technical Support,Y,Y,48.0,312.0,4.0,2021-01-04 12:02:53
ID0198,Martha,2021-01-04,12:02:53,Admin Support,Y,Y,113.0,164.0,5.0,2021-01-04 12:02:53
ID0199,Jim,2021-01-04,12:15:50,Streaming,N,N,68.0,226.0,3.0,2021-01-04 12:15:50
ID0200,Joe,2021-01-04,12:15:50,Technical Support,Y,Y,103.0,400.0,5.0,2021-01-04 12:15:50
ID0201,Becky,2021-01-04,12:15:50,Technical Support,Y,N,95.0,267.0,3.0,2021-01-04 12:15:50
ID0202,Joe,2021-01-04,12:15:50,Admin Support,Y,Y,30.0,304.0,1.0,2021-01-04 12:15:50
ID0203,Greg,2021-01-04,13:32:10,Admin Support,Y,Y,124.0,199.0,3.0,2021-01-04 13:32:10
ID0204,Diane,2021-01-04,13:32:10,Admin Support,Y,Y,17.0,123.0,5.0,2021-01-04 13:32:10
ID0205,Stewart,2021-01-04,13:45:07,Streaming,Y,Y,113.0,360.0,3.0,2021-01-04 13:45:07
ID0206,Jim,2021-01-04,13:45:07,Technical Support,Y,Y,25.0,147.0,5.0,2021-01-04 13:45:07
ID0207,Jim,2021-01-04,13:56:38,Admin Support,Y,Y,52.0,262.0,5.0,2021-01-04 13:56:38
ID0208,Dan,2021-01-04,13:56:38,Admin Support,Y,Y,28.0,164.0,5.0,2021-01-04 13:56:38
ID0209,Greg,2021-01-04,14:25:26,Technical Support,Y,Y,69.0,185.0,3.0,2021-01-04 14:25:26
ID0210,Martha,2021-01-04,14:25:26,Streaming,Y,Y,106.0,232.0,3.0,2021-01-04 14:25:26
ID0211,Jim,2021-01-04,14:28:19,Technical Support,N,N,68.0,226.0,3.0,2021-01-04 14:28:19
ID0212,Joe,2021-01-04,14:28:19,Payment related,Y,Y,26.0,299.0,3.0,2021-01-04 14:28:19
ID0213,Joe,2021-01-04,14:31:12,Payment related,Y,Y,53.0,355.0,4.0,2021-01-04 14:31:12
ID0214,Martha,2021-01-04,14:31:12,Technical Support,Y,Y,77.0,250.0,2.0,2021-01-04 14:31:12
ID0215,Jim,2021-01-04,14:49:55,Contract related,Y,Y,45.0,182.0,3.0,2021-01-04 14:49:55
ID0216,Becky,2021-01-04,14:49:55,Technical Support,N,N,68.0,226.0,3.0,2021-01-04 14:49:55
ID0217,Greg,2021-01-04,15:23:02,Streaming,Y,Y,56.0,256.0,4.0,2021-01-04 15:23:02
ID0218,Stewart,2021-01-04,15:23:02,Admin Support,Y,Y,13.0,236.0,2.0,2021-01-04 15:23:02
ID0219,Stewart,2021-01-04,15:48:58,Admin Support,Y,Y,120.0,410.0,5.0,2021-01-04 15:48:58
ID0220,Diane,2021-01-04,15:48:58,Payment related,Y,Y,22.0,50.0,1.0,2021-01-04 15:48:58
ID0221,Martha,2021-01-04,16:48:00,Payment related,Y,Y,81.0,201.0,4.0,2021-01-04 16:48:00
ID0222,Jim,2021-01-04,16:48:00,Streaming,N,N,68.0,226.0,3.0,2021-01-04 16:48:00
ID0223,Martha,2021-01-04,16:49:26,Contract related,Y,Y,71.0,48.0,2.0,2021-01-04 16:49:26
ID0224,Stewart,2021-01-04,16:49:26,Payment related,Y,Y,75.0,93.0,4.0,2021-01-04 16:49:26
ID0225,Martha,2021-01-04,16:49:26,Technical Support,Y,Y,77.0,162.0,4.0,2021-01-04 16:49:26
ID0226,Joe,2021-01-04,16:49:26,Streaming,Y,Y,88.0,387.0,4.0,2021-01-04 16:49:26
ID0227,Stewart,2021-01-04,17:35:31,Admin Support,Y,Y,82.0,185.0,2.0,2021-01-04 17:35:31
ID0228,Jim,2021-01-04,17:35:31,Technical Support,Y,Y,110.0,390.0,3.0,2021-01-04 17:35:31
ID0229,Martha,2021-01-04,17:39:50,Admin Support,Y,N,70.0,92.0,3.0,2021-01-04 17:39:50
ID0230,Becky,2021-01-04,17:39:50,Admin Support,Y,Y,117.0,220.0,3.0,2021-01-04 17:39:50
ID0231,Joe,2021-01-05,09:08:38,Streaming,Y,Y,18.0,50.0,3.0,2021-01-05 09:08:38
ID0232,Joe,2021-01-05,09:08:38,Streaming,Y,Y,113.0,156.0,4.0,2021-01-05 09:08:38
ID0233,Stewart,2021-01-05,09:25:55,Contract related,Y,N,68.0,209.0,5.0,2021-01-05 09:25:55
ID0234,Greg,2021-01-05,09:25:55,Payment related,Y,Y,67.0,254.0,5.0,2021-01-05 09:25:55
ID0235,Joe,2021-01-05,09:33:07,Technical Support,Y,Y,36.0,67.0,5.0,2021-01-05 09:33:07
ID0236,Stewart,2021-01-05,09:33:07,Streaming,N,N,68.0,226.0,3.0,2021-01-05 09:33:07
ID0237,Becky,2021-01-05,10:00:29,Technical Support,Y,Y,33.0,150.0,1.0,2021-01-05 10:00:29
ID0238,Dan,2021-01-05,10:00:29,Contract related,Y,Y,113.0,119.0,5.0,2021-01-05 10:00:29
